process_group,process,process_family,n
NA,NA,Not reported,3164
NA,Washed,Washed,828
NA,Natural,Natural,560
NA,Honey,Honey / pulped natural,211
NA,WASHED,Washed,93
Natural,Natural,Natural,51
NA,Dry/Natural,Natural,43
NA,NATURAL,Natural,41
Traditional Washed Processes,Washed,Washed,38
NA,Pulped Natural,Honey / pulped natural,33
NA,Anaerobic,Experimental,29
Exotic Washed,Washed,Washed,25
Experimental,Experimental,Experimental,24
Traditional Honey & Natural Processes,Honey,Honey / pulped natural,23
Traditional Honey & Natural Processes,Natural,Natural,22
NA,Lavado,Washed,19
Exotic Natural & Honey,Natural,Natural,18
Washed + Honey,Honey,Honey / pulped natural,17
NA,HONEY,Honey / pulped natural,17
NA,Natural Anaerobic,Experimental,16
Washed Processes,Washed,Washed,15
Natural & Honey,Natural,Natural,14
Ready to Bid on Taiwan's Best Coffees?,Natural,Natural,14
NA,NATURAL ANAEROBICO,Experimental,12
NA,Washed Anaerobic,Experimental,12
Dry,Natural,Natural,11
Wet,Pulped Natural,Honey / pulped natural,11
NA,Semi-Washed,Honey / pulped natural,11
Exotic Varieties,Washed,Washed,10
Experimental,Pending,Experimental,10
One Of A Kind,Washed,Washed,8
Ready to Bid on Taiwan's Best Coffees?,Honey,Honey / pulped natural,7
NA,ANAEROBIC WASHED,Experimental,7
NA,Anaerobic Natural,Experimental,7
NA,Anaeróbico,Experimental,7
Experimental,Anaerobic fermentation,Experimental,6
Experimental,Fermentation,Experimental,6
Experimental,Natural Anaerobico,Experimental,6
Honduras Traditional Varieties,Washed,Washed,6
One Of A Kind,Natural,Natural,6
Ready to Bid on Taiwan's Best Coffees?,Washed,Washed,6
TRADITIONAL WASHED PROCESSES,Washed,Washed,6
Washed + Honey,Pulped,Honey / pulped natural,6
Washed + Honey,Pulped Natural,Honey / pulped natural,6
NA,Wet Hulled,Washed,6
Experimental,Lavado / Anaerobico,Experimental,5
Experimental,Washed,Experimental,5
Washed + Honey,Washed,Washed,5
Exotic Natural & Honey,Honey,Honey / pulped natural,4
Experimental,Natural,Experimental,4
Experimental,Natural / Anaerobico,Experimental,4
Parainema Variety,Washed,Washed,4
NA,Anaerobic Washed,Experimental,4
Exotic Varieties,Natural,Natural,3
Honduras Traditional Varieties,Honey,Honey / pulped natural,3
One Of A Kind,Honey,Honey / pulped natural,3
Washed + Honey,Lavado,Washed,3
NA,ANAEROBIC WASH,Experimental,3
NA,Dry Hulled,Natural,3
NA,Natural Anaerobico,Experimental,3
NA,WASHED ANAEROBICO,Experimental,3
Exotic Washed,Lavado,Washed,2
Experimental,Anaerobic Fermentation,Experimental,2
Experimental,Fermented,Experimental,2
Experimental,Honey / Anaerobico,Experimental,2
Experimental,Macro-aerobic fermentation,Experimental,2
Experimental,Natural / Maceracion Carbonica,Experimental,2
Experimental,Washed Anaerobico,Experimental,2
Parainema Variety,Natural,Natural,2
Traditional Honey & Natural Processes,Semi lavado,Honey / pulped natural,2
Washed + Honey,Demucilaged,Honey / pulped natural,2
Wet,Honey,Honey / pulped natural,2
NA,Carbonic Maceration Natural,Experimental,2
NA,Honey Anaerobic,Experimental,2
NA,Wet Hull,Washed,2
EXPERIMENTAL,Exerimental,Experimental,1
Exotic Varieties,Honey,Honey / pulped natural,1
Experimental,Aerobic Fermentation,Experimental,1
Experimental,Anaerobic,Experimental,1
Experimental,Black Honey,Experimental,1
Experimental,Fermented Honey,Experimental,1
Experimental,Fermented Natural,Experimental,1
Experimental,Honey,Experimental,1
Experimental,Honey Anaerobico,Experimental,1
Experimental,Pedro Bras Top,Experimental,1
Honduras Traditional Varieties,Natural,Natural,1
Natural & Honey,Honey,Honey / pulped natural,1
TRADITIONAL HONEY & NATURAL PROCESSES,Natural,Natural,1
Traditional Honey & Natural Processes,Black Honey,Honey / pulped natural,1
Washed + Honey,Depulped,Honey / pulped natural,1
Washed + Honey,SemiWashed,Washed,1
Wet,Washed,Washed,1
NA,,Not reported,1
NA,ANAEROBIC MC WASHED,Experimental,1
NA,Anaerobic Honey,Experimental,1
NA,Anaerobic NP,Experimental,1
NA,Carbonic Maceration Honey,Experimental,1
NA,Despolpado,Honey / pulped natural,1
NA,Double Anaerobic,Experimental,1
NA,Fermented Honey process,Experimental,1
NA,Fermented Natural Process,Experimental,1
NA,Fully Washed,Washed,1
NA,HONEY ANAEROBICO,Experimental,1
NA,"Honey (Semi-
Washed)",Honey / pulped natural,1
NA,Honey Caramella,Honey / pulped natural,1
NA,Honey double fermentation,Experimental,1
NA,Honey – Anaerobic,Experimental,1
NA,Honey/02,Honey / pulped natural,1
NA,Lactic Natural,Natural,1
NA,Mossto Natural,Natural,1
NA,NATURAL ANAEROBIC,Experimental,1
NA,Natural Double Fermentation,Experimental,1
NA,Natural Honey,Honey / pulped natural,1
NA,Natural – Carbonic Maceration,Experimental,1
NA,SEMI-WASHED,Honey / pulped natural,1
NA,SEMIL – WASHED,Washed,1
NA,Washed – Anaerobic,Experimental,1
